[2026-01-03 07:24:16] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Array and string offset access syntax with curly braces is deprecated',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/lessc.inc.php',   'line' => 2478, ) [] []
[2026-01-03 07:24:18] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:25:19] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:26:03] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:26:20] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:26:21] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:26:23] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:26:23] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:26:24] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:26:25] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:26:40] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:27:40] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:27:42] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:27:42] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:27:57] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:29:31] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:29:32] php_system.INFO: E_DEPRECATED: array (   'type' => 8192,   'message' => 'Array and string offset access syntax with curly braces is deprecated',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/lessc.inc.php',   'line' => 2478, ) [] []
[2026-01-03 07:29:33] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:29:48] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:29:59] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:29:59] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:30:10] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/aquila-admin-theme/admin/colour/colourScheme.php',   'line' => 23, ) [] []
[2026-01-03 07:30:14] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:30:16] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:30:16] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Trying to access array offset on value of type bool',   'file' => '/var/www/html/wp-content/plugins/food-and-drink-menu/includes/class-settings.php',   'line' => 181, ) [] []
[2026-01-03 07:30:16] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'unlink(/var/www/html/wp-content/uploads/backup-guard/sg_backup.state): No such file or directory',   'file' => '/var/www/html/wp-content/plugins/backup/public/ajax/resetStatus.php',   'line' => 15, ) [] []
